"Firearms manufactured (Items)",,,,,,,"3040934","3559663","3963877","4418393","3959968","3563106","4175836","5055637","5173217","4316342","3854439","3593504","3713590","4047747","3793541","2932655","3366895","3308404","3099025","3241494","3653324","3922613","4498944","5555818","5459240","6541886","8578610","10844792","9050626","9358661","11497441","8327792","9052628","7011945"
"    By type of firearm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Pistols (Items)",,,,,,,"662973","964561","1101011","1404753","1371427","1378252","1669537","2093362","2004298","1195284","987528","1036077","960365","995446","962901","626836","741514","811660","728511","803425","1021260","1219664","1609381","1868258","2258450","2598133","3487883","4441726","3633454","3557199","4720075","3691010","3881158","3046013"
"        Revolvers (Items)",,,,,,,"761414","722512","754744","628573","470495","456966","469413","562292","586450","527664","498944","370428","324390","335784","318960","320143","347070","309364","294099","274205","385069","391334","431753","547195","558927","572857","667357","725282","744047","885259","856291","720917","664835","580601"
"        Shotguns (Items)",,,,,,,"641482","857949","928070","935541","848948","828426","1018204","1144940","1254926","1173645","925732","915978","868639","1106995","898442","679813","741325","726078","731769","709313","714618","645231","630710","752699","743378","862401","949010","1203072","935411","777273","848617","653139","536126","480735"
"        Misc. Firearms (Items)",,,,,,,"4558","6980","35345","42126","57434","15980","16849","81349","10936","8629","17920","19680","24506","39837","30196","21309","21700","30978","19508","23179","35872","55461","92564","138815","67929","190407","306154","495142","358165","447131","833123","758634","1089973","946929"
"        Rifles (Items)",,,,,,,"970507","1007661","1144707","1407400","1211664","883482","1001833","1173694","1316607","1411120","1424315","1251341","1535690","1569685","1583042","1284554","1515286","1430324","1325138","1431372","1496505","1610923","1734536","2248851","1830556","2318088","3168206","3979570","3379549","3691799","4239335","2504092","2880536","1957667"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bureau of Alcohol, Tobacco, Firearms, and Explosives (ATF)"," Report on Firearms Commerce in U.S.","","https://www.atf.gov/resource-center/data-statistics","https://www.atf.gov/firearms/docs/report/2019-firearms-commerce-report/download","2019","Yearly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Exported on: 02/22/2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
